Title,Author
Sandali,Cup of Joe
Hayaan,Cup of Joe
Ikaw Parin Ang Pipiliin Ko,Cup of Joe
Tingin,Cup of Joe,
Mistertyoso,Cup of Joe
Tataya,Cup of Joe
Patutunguhan,Cup of Joe
Wag Na Lang,Cup of Joe
Bagyo,Cup of Joe
Wine,Cup of Joe
Kanelang Mata,Cup of Joe
Bubog,Cup of Joe
Siping,Cup of Joe
Pahina,Cup of Joe
'Di Maaari,Cup of Joe
Hinga,Cup of Joe
Silakbo,Cup of Joe
Lahat Ng Bukas,Cup of Joe,
Ikaw,Cup of Joe
Multo,Cup of Joe
Mananatili,Cup of Joe
Estranghero,Cup of Joe
Nag-iisang Muli,Cup of Joe
Sinderela,Cup of Joe
Sagada,Cup of Joe
Bukod-Tangi,Cup of Joe
Alas Dose,Cup of Joe
Ikaw,Cup of Joe,
Nasa'king Damdamin,Arthur Nery
Isa Lang,Arthur Nery
Higa,Arthur Nery
Pagsamo,Arthur Nery
Binhi,Arthur Nery
Cotton Candy,Arthur Nery
Hung Up,Arthur Nery
Favorite Vice,Arthur Nery
Got Me Tangled,Arthur Nery
Life Puzzle,Arthur Nery
I'd Still Kiss You,Arthur Nery
Take All The Love,Arthur Nery
Happy w u(feat.Jason Dhakal),Arthur Nery
Pelikula,Arthur Nery
Sinag,Arthur Nery
o ninanais,Arthur Nery
Mikasa,Arthur Nery
Life Puzzle,Arthur Nery
Turbo,Arthur Nery
Sabik,Arthur Nery
RomCom,Rob Deniel
Ikaw Sana,Rob Deniel
Miss Miss,Rob Deniel
Sinta,Rob Deniel
Ang Pag-ibig,Rob Deniel
Ulap,Rob Deniel
Kumusta Na,Rob Deniel
Puso,Rob Deniel
Iisang Daan,Rob Deniel
Happy Ending,Rob Deniel
Malabo,Khel Pangilinan
Salamat Sa’yo,Khel Pangilinan
Sinayang Mo,Khel Pangilinan
Yudawan,Khel Pangilinan
1988,Khel Pangilinan
Don’t,Khel Pangilinan
Weak,Khel Pangilinan
Alipin,Khel Pangilinan
I’ll Be,Khel Pangilinan
Burn,Khel Pangilinan
Officially Missing You,Khel Pangilinan
Yakap,Nobita
Vie (Sabihin Mo Kung),Nobita
Ikaw Lang,Nobita
The Search Is Over,Nobita
Unang Sayaw,Nobita
Di Na Mag-Iisa,Nobita
Tayong Dalawa sa Pasko,Nobita
Totoo,Nobita
Paano Uusad,Nobita
Sa Ulan,Nobita
Magasin (Nobita version),Nobita
Kalangitan,Nobita
Hay Buhay,Nobita
Tayo Na Lang,Nobita
Gitna,Nobita
Kahit Sandali,Nobita
Hau Buhay,Nobita
Paruparo Na Walang Hanggan,Nobita
Bukang Liwayway,Nobita
Idol,Ex Battalion
We The Best,Ex Battalion
Bullet Sun,Ex Battalion
Kung Tayo,Ex Battalion
Miss Flawless,Ex Battalion
Baby Cakes (Kiss Mo ’Ko),Ex Battalion
Pakinabang,Ex Battalion
Wag Sya,Ex Battalion
Sama-Sama,Ex Battalion
Saya,Ex Battalion
PagMAMAhal,Ex Battalion
Maghihintay,Ex Battalion
Bagong Simula,Ex Battalion
No Games,Ex Battalion
Tell Me,Ex Battalion
Need You,Ex Battalion
Sana Ikaw Na Nga,Ex Battalion
Bootyful,Ex Battalion
Come With Me,Ex Battalion
Hayaan Mo Sila,Ex Battalion
SouthBoys,Ex Battalion
Follow My Lead,Ex Battalion
Unreleased (Mahirap Na),Ex Battalion
Superhero Mo,Ex Battalion
Ikaw Kase,Ex Battalion
Ginalingan,Ex Battalion
SingSing,Ex Battalion
Bounty (Makukuha Rin Kita),Ex Battalion
Yearly,Ex Battalion
Atin,Ex Battalion
Chismis,Ex Battalion
Tagapagligtas,Ex Battalion
Fun,Ex Battalion
Legacy,Ex Battalion
For Me,Ex Battalion
43x,Ex Battalion
Hamig,Ex Battalion
All Night,Ex Battalion
Sagip,Jan Roberts
Hirap Kalimutan,Jan Roberts
Patlang,Jan Roberts
U-Belt,Jan Roberts
Escolta,Jan Roberts
Binibini,Jan Roberts
Hingalo,Jan Roberts
Noche Buena,Jan Roberts
Sagip – Hanggang Dulo,Jan Roberts
Luha,Adie
Paraluman,Adie
Dungaw,Adie
Sawa Na,Adie
Tahanan,Adie
You’ll Be Safe Here,Adie
Mahika (with Janine Berdin),Adie
Kabado,Adie
Tinatangi (feat. Chrstn),Adie
G.K.Y.A.M.,Adie
Oh, Giliw,Adie
Nobya,Adie
Closer You and I,Adie
Ms. Pakipot,Adie
Tibok,Earl Agustin
Dalangin,Earl Agustin
Dito Sa’kin,Earl Agustin
Aya,Earl Agustin
Pag-Ibig ng Ikaw at Ako,Earl Agustin
Tayong Dalawa,Earl Agustin
Basin Puhon,Earl Agustin
Minamahal (with Dana Paulene),Earl Agustin
Suntok Sa Buwan,Earl Agustin
Malaya,Moira Dela Torre
Tagpuan,Moira Dela Torre
Paubaya,Moira Dela Torre
Ikaw At Ako,Moira Dela Torre
Titibo-Tibo,Moira Dela Torre
Mabagal,Moira Dela Torre
Torete,Moira Dela Torre
Kung ‘Di Rin Lang Ikaw,Moira Dela Torre
Babalik Sa’yo,Moira Dela Torre
Before It Sinks In,Moira Dela Torre
Beautiful Scars,Moira Dela Torre
Patawad,Moira Dela Torre
Paalam,Moira Dela Torre
Ang Iwasan,Moira Dela Torre
Ikaw Pa Rin,Moira Dela Torre
Sabi Ng Lola,Moira Dela Torre
E.D.S.A. – Emosyong Dinaan Sa Awit,Moira Dela Torre
Hanggang Sa Huli,Moira Dela Torre
Unbreakable,Moira Dela Torre
I’m Okay,Moira Dela Torre
Where It All Started,Moira Dela Torre
Under The Bathroom Sink,Moira Dela Torre
Bandaid,Moira Dela Torre
Red Flags,Moira Dela Torre
Umpisa,Moira Dela Torre
Ghosts,Moira Dela Torre
San Ka Na,Moira Dela Torre
Delusional,Moira Dela Torre
