Title,Author,Genre
Sandali,Cup of Joe,Sad
Hayaan,Cup of Joe,Sad
Ikaw Parin Ang Pipiliin Ko,Cup of Joe,Sad
Mistertyoso,Cup of Joe,Pop
Tataya,Cup of Joe,Indie
Patutunguhan,Cup of Joe,Pop
Wag Na Lang,Cup of Joe,Sad
Bagyo,Cup of Joe,Pop
Wine,Cup of Joe,Pop
Kanelang Mata,Cup of Joe,Pop
Bubog,Cup of Joe,Pop
Siping,Cup of Joe,Pop
Pahina,Cup of Joe,Pop
'Di Maaari,Cup of Joe,Pop
Hinga,Cup of Joe,Pop
Silakbo,Cup of Joe,Pop
Ikaw,Cup of Joe,Sad
Multo,Cup of Joe,Pop
Mananatili,Cup of Joe,Pop
Estranghero,Cup of Joe,Pop
Nag-iisang Muli,Cup of Joe,Pop
Sinderela,Cup of Joe,Pop
Sagada,Cup of Joe,Pop
Bukod-Tangi,Cup of Joe,Pop
Alas Dose,Cup of Joe,Pop
Nasa'king Damdamin,Arthur Nery,Love
Isa Lang,Arthur Nery,Love
Higa,Arthur Nery,Love
Pagsamo,Arthur Nery,Love
Binhi,Arthur Nery,Love
Cotton Candy,Arthur Nery,Love
Hung Up,Arthur Nery,Love
Favorite Vice,Arthur Nery,Love
Got Me Tangled,Arthur Nery,Love
Life Puzzle,Arthur Nery,Love
I'd Still Kiss You,Arthur Nery,Love
Take All The Love,Arthur Nery,Love
Happy w u(feat.Jason Dhakal),Arthur Nery,Love
Pelikula,Arthur Nery,Love
Sinag,Arthur Nery,Love
o ninanais,Arthur Nery,Love
Mikasa,Arthur Nery,Love
Life Puzzle,Arthur Nery,Love
Turbo,Arthur Nery,Love
Sabik,Arthur Nery,Love
RomCom,Rob Deniel,Pop
Ikaw Sana,Rob Deniel,Love
Miss Miss,Rob Deniel,Pop
Sinta,Rob Deniel,Pop
Ang Pag-ibig,Rob Deniel,Love
Ulap,Rob Deniel,Pop
Kumusta Na,Rob Deniel,Pop
Puso,Rob Deniel,Love
Iisang Daan,Rob Deniel,Pop
Happy Ending,Rob Deniel,Pop
Malabo,Khel Pangilinan,Pop
Salamat Sa’yo,Khel Pangilinan,Pop
Sinayang Mo,Khel Pangilinan,Pop
Yudawan,Khel Pangilinan,Pop
1988,Khel Pangilinan,Pop
Don’t,Khel Pangilinan,Pop
Weak,Khel Pangilinan,Pop
Alipin,Khel Pangilinan,Pop
I’ll Be,Khel Pangilinan,Pop
Burn,Khel Pangilinan,Pop
